Step   60: PC=138 | LOAD $t0, 88($zero)                 | SP=62 t0=3   t1=1   t2=4   ra=0  
Step   61: PC=139 | ADDI $t1, $zero, 10                 | SP=62 t0=4   t1=1   t2=4   ra=0  
Step   62: PC=140 | BGE $t0, $t1, 152  # (offset=11)    | SP=62 t0=4   t1=10  t2=4   ra=0  
Step   63: PC=141 | IN $t0                              | SP=62 t0=4   t1=10  t2=4   ra=0  
Step   64: PC=142 | LOAD $t1, 88($zero)                 | SP=62 t0=8   t1=10  t2=4   ra=0  
Step   65: PC=143 | ADD $at, $t1, $t1                   | SP=62 t0=8   t1=4   t2=4   ra=0  
Step   66: PC=144 | ADD $at, $at, $at                   | SP=62 t0=8   t1=4   t2=4   ra=0  
Step   67: PC=145 | ADDI $at, $at, 0                    | SP=62 t0=8   t1=4   t2=4   ra=0  
Step   68: PC=146 | STORE $t0, 0($at)                   | SP=62 t0=8   t1=4   t2=4   ra=0  
Step   69: PC=147 | LOAD $t0, 88($zero)                 | SP=62 t0=8   t1=4   t2=4   ra=0  
Step   70: PC=148 | ADDI $t1, $zero, 1                  | SP=62 t0=4   t1=4   t2=4   ra=0  
Step   71: PC=149 | ADD $t2, $t0, $t1                   | SP=62 t0=4   t1=1   t2=4   ra=0  
Step   72: PC=150 | STORE $t2, 88($zero)                | SP=62 t0=4   t1=1   t2=5   ra=0  
Step   73: PC=151 | JUMP 138  # (offset=-14)            | SP=62 t0=4   t1=1   t2=5   ra=0  
Step   74: PC=138 | LOAD $t0, 88($zero)                 | SP=62 t0=4   t1=1   t2=5   ra=0  
Step   75: PC=139 | ADDI $t1, $zero, 10                 | SP=62 t0=5   t1=1   t2=5   ra=0  
Step   76: PC=140 | BGE $t0, $t1, 152  # (offset=11)    | SP=62 t0=5   t1=10  t2=5   ra=0  
Step   77: PC=141 | IN $t0                              | SP=62 t0=5   t1=10  t2=5   ra=0  
Step   78: PC=142 | LOAD $t1, 88($zero)                 | SP=62 t0=3   t1=10  t2=5   ra=0  
Step   79: PC=143 | ADD $at, $t1, $t1                   | SP=62 t0=3   t1=5   t2=5   ra=0  
Step   80: PC=144 | ADD $at, $at, $at                   | SP=62 t0=3   t1=5   t2=5   ra=0  
Step   81: PC=145 | ADDI $at, $at, 0                    | SP=62 t0=3   t1=5   t2=5   ra=0  
Step   82: PC=146 | STORE $t0, 0($at)                   | SP=62 t0=3   t1=5   t2=5   ra=0  
Step   83: PC=147 | LOAD $t0, 88($zero)                 | SP=62 t0=3   t1=5   t2=5   ra=0  
Step   84: PC=148 | ADDI $t1, $zero, 1                  | SP=62 t0=5   t1=5   t2=5   ra=0  
Step   85: PC=149 | ADD $t2, $t0, $t1                   | SP=62 t0=5   t1=1   t2=5   ra=0  
Step   86: PC=150 | STORE $t2, 88($zero)                | SP=62 t0=5   t1=1   t2=6   ra=0  
Step   87: PC=151 | JUMP 138  # (offset=-14)            | SP=62 t0=5   t1=1   t2=6   ra=0  
Step   88: PC=138 | LOAD $t0, 88($zero)                 | SP=62 t0=5   t1=1   t2=6   ra=0  
Step   89: PC=139 | ADDI $t1, $zero, 10                 | SP=62 t0=6   t1=1   t2=6   ra=0  
Step   90: PC=140 | BGE $t0, $t1, 152  # (offset=11)    | SP=62 t0=6   t1=10  t2=6   ra=0  
Step   91: PC=141 | IN $t0                              | SP=62 t0=6   t1=10  t2=6   ra=0  
Step   92: PC=142 | LOAD $t1, 88($zero)                 | SP=62 t0=5   t1=10  t2=6   ra=0  
Step   93: PC=143 | ADD $at, $t1, $t1                   | SP=62 t0=5   t1=6   t2=6   ra=0  
Step   94: PC=144 | ADD $at, $at, $at                   | SP=62 t0=5   t1=6   t2=6   ra=0  
Step   95: PC=145 | ADDI $at, $at, 0                    | SP=62 t0=5   t1=6   t2=6   ra=0  
Step   96: PC=146 | STORE $t0, 0($at)                   | SP=62 t0=5   t1=6   t2=6   ra=0  
Step   97: PC=147 | LOAD $t0, 88($zero)                 | SP=62 t0=5   t1=6   t2=6   ra=0  
Step   98: PC=148 | ADDI $t1, $zero, 1                  | SP=62 t0=6   t1=6   t2=6   ra=0  
Step   99: PC=149 | ADD $t2, $t0, $t1                   | SP=62 t0=6   t1=1   t2=6   ra=0  
Step  100: PC=150 | STORE $t2, 88($zero)                | SP=62 t0=6   t1=1   t2=7   ra=0  
Step  101: PC=151 | JUMP 138  # (offset=-14)            | SP=62 t0=6   t1=1   t2=7   ra=0  
Step  102: PC=138 | LOAD $t0, 88($zero)                 | SP=62 t0=6   t1=1   t2=7   ra=0  
Step  103: PC=139 | ADDI $t1, $zero, 10                 | SP=62 t0=7   t1=1   t2=7   ra=0  
Step  104: PC=140 | BGE $t0, $t1, 152  # (offset=11)    | SP=62 t0=7   t1=10  t2=7   ra=0  
Step  105: PC=141 | IN $t0                              | SP=62 t0=7   t1=10  t2=7   ra=0  
Step  106: PC=142 | LOAD $t1, 88($zero)                 | SP=62 t0=0   t1=10  t2=7   ra=0  
Step  107: PC=143 | ADD $at, $t1, $t1                   | SP=62 t0=0   t1=7   t2=7   ra=0  
Step  108: PC=144 | ADD $at, $at, $at                   | SP=62 t0=0   t1=7   t2=7   ra=0  
Step  109: PC=145 | ADDI $at, $at, 0                    | SP=62 t0=0   t1=7   t2=7   ra=0  
Step  110: PC=146 | STORE $t0, 0($at)                   | SP=62 t0=0   t1=7   t2=7   ra=0  
Step  111: PC=147 | LOAD $t0, 88($zero)                 | SP=62 t0=0   t1=7   t2=7   ra=0  
Step  112: PC=148 | ADDI $t1, $zero, 1                  | SP=62 t0=7   t1=7   t2=7   ra=0  
Step  113: PC=149 | ADD $t2, $t0, $t1                   | SP=62 t0=7   t1=1   t2=7   ra=0  
Step  114: PC=150 | STORE $t2, 88($zero)                | SP=62 t0=7   t1=1   t2=8   ra=0  
Step  115: PC=151 | JUMP 138  # (offset=-14)            | SP=62 t0=7   t1=1   t2=8   ra=0  
Step  116: PC=138 | LOAD $t0, 88($zero)                 | SP=62 t0=7   t1=1   t2=8   ra=0  
Step  117: PC=139 | ADDI $t1, $zero, 10                 | SP=62 t0=8   t1=1   t2=8   ra=0  
Step  118: PC=140 | BGE $t0, $t1, 152  # (offset=11)    | SP=62 t0=8   t1=10  t2=8   ra=0  
Step  119: PC=141 | IN $t0                              | SP=62 t0=8   t1=10  t2=8   ra=0  
Step  120: PC=142 | LOAD $t1, 88($zero)                 | SP=62 t0=4   t1=10  t2=8   ra=0  
Step  121: PC=143 | ADD $at, $t1, $t1                   | SP=62 t0=4   t1=8   t2=8   ra=0  
Step  122: PC=144 | ADD $at, $at, $at                   | SP=62 t0=4   t1=8   t2=8   ra=0  
Step  123: PC=145 | ADDI $at, $at, 0                    | SP=62 t0=4   t1=8   t2=8   ra=0  
Step  124: PC=146 | STORE $t0, 0($at)                   | SP=62 t0=4   t1=8   t2=8   ra=0  
Step  125: PC=147 | LOAD $t0, 88($zero)                 | SP=62 t0=4   t1=8   t2=8   ra=0  
Step  126: PC=148 | ADDI $t1, $zero, 1                  | SP=62 t0=8   t1=8   t2=8   ra=0  
Step  127: PC=149 | ADD $t2, $t0, $t1                   | SP=62 t0=8   t1=1   t2=8   ra=0  
Step  128: PC=150 | STORE $t2, 88($zero)                | SP=62 t0=8   t1=1   t2=9   ra=0  
Step  129: PC=151 | JUMP 138  # (offset=-14)            | SP=62 t0=8   t1=1   t2=9   ra=0  
Step  130: PC=138 | LOAD $t0, 88($zero)                 | SP=62 t0=8   t1=1   t2=9   ra=0  
Step  131: PC=139 | ADDI $t1, $zero, 10                 | SP=62 t0=9   t1=1   t2=9   ra=0  
Step  132: PC=140 | BGE $t0, $t1, 152  # (offset=11)    | SP=62 t0=9   t1=10  t2=9   ra=0  
Step  133: PC=141 | IN $t0                              | SP=62 t0=9   t1=10  t2=9   ra=0  
Step  134: PC=142 | LOAD $t1, 88($zero)                 | SP=62 t0=6   t1=10  t2=9   ra=0  
Step  135: PC=143 | ADD $at, $t1, $t1                   | SP=62 t0=6   t1=9   t2=9   ra=0  
Step  136: PC=144 | ADD $at, $at, $at                   | SP=62 t0=6   t1=9   t2=9   ra=0  
Step  137: PC=145 | ADDI $at, $at, 0                    | SP=62 t0=6   t1=9   t2=9   ra=0  
Step  138: PC=146 | STORE $t0, 0($at)                   | SP=62 t0=6   t1=9   t2=9   ra=0  
Step  139: PC=147 | LOAD $t0, 88($zero)                 | SP=62 t0=6   t1=9   t2=9   ra=0  
Step  140: PC=148 | ADDI $t1, $zero, 1                  | SP=62 t0=9   t1=9   t2=9   ra=0  
Step  141: PC=149 | ADD $t2, $t0, $t1                   | SP=62 t0=9   t1=1   t2=9   ra=0  
Step  142: PC=150 | STORE $t2, 88($zero)                | SP=62 t0=9   t1=1   t2=10  ra=0  
Step  143: PC=151 | JUMP 138  # (offset=-14)            | SP=62 t0=9   t1=1   t2=10  ra=0  
Step  144: PC=138 | LOAD $t0, 88($zero)                 | SP=62 t0=9   t1=1   t2=10  ra=0  
Step  145: PC=139 | ADDI $t1, $zero, 10                 | SP=62 t0=10  t1=1   t2=10  ra=0  
Step  146: PC=140 | BGE $t0, $t1, 152  # (offset=11)    | SP=62 t0=10  t1=10  t2=10  ra=0  
Step  147: PC=152 | LOAD $at, 88($zero)                 | SP=62 t0=10  t1=10  t2=10  ra=0  
Step  148: PC=153 | STORE_STACK $at                     | SP=62 t0=10  t1=10  t2=10  ra=0  
Step  149: PC=154 | ADDI $t0, $zero, 10                 | SP=61 t0=10  t1=10  t2=10  ra=0  
Step  150: PC=155 | STORE_STACK $t0                     | SP=61 t0=10  t1=10  t2=10  ra=0  
Step  151: PC=156 | ADDI $t0, $zero, 0                  | SP=60 t0=10  t1=10  t2=10  ra=0  
Step  152: PC=157 | STORE_STACK $t0                     | SP=60 t0=0   t1=10  t2=10  ra=0  
Step  153: PC=158 | ADDI $t0, $zero, 0                  | SP=59 t0=0   t1=10  t2=10  ra=0  
Step  154: PC=159 | STORE_STACK $t0                     | SP=59 t0=0   t1=10  t2=10  ra=0  
Step  155: PC=160 | JAL $ra, 53  # (offset=-108)        | SP=58 t0=0   t1=10  t2=10  ra=0  
Step  156: PC=53  | LOAD_STACK $at                      | SP=58 t0=0   t1=10  t2=10  ra=161
Step  157: PC=54  | STORE $at, 64($zero)                | SP=59 t0=0   t1=10  t2=10  ra=161
Step  158: PC=55  | LOAD_STACK $at                      | SP=59 t0=0   t1=10  t2=10  ra=161
Step  159: PC=56  | STORE $at, 68($zero)                | SP=60 t0=0   t1=10  t2=10  ra=161
Step  160: PC=57  | LOAD_STACK $at                      | SP=60 t0=0   t1=10  t2=10  ra=161
Step  161: PC=58  | STORE $at, 72($zero)                | SP=61 t0=0   t1=10  t2=10  ra=161
Step  162: PC=59  | STORE_STACK $ra                     | SP=61 t0=0   t1=10  t2=10  ra=161
Step  163: PC=60  | LOAD $t0, 68($zero)                 | SP=60 t0=0   t1=10  t2=10  ra=161
Step  164: PC=61  | STORE $t0, 76($zero)                | SP=60 t0=0   t1=10  t2=10  ra=161
Step  165: PC=62  | LOAD $t0, 76($zero)                 | SP=60 t0=0   t1=10  t2=10  ra=161
Step  166: PC=63  | LOAD $t1, 72($zero)                 | SP=60 t0=0   t1=10  t2=10  ra=161
Step  167: PC=64  | ADDI $t2, $zero, 1                  | SP=60 t0=0   t1=10  t2=10  ra=161
Step  168: PC=65  | SUB $t3, $t1, $t2                   | SP=60 t0=0   t1=10  t2=1   ra=161
Step  169: PC=66  | BGE $t0, $t3, 133  # (offset=66)    | SP=60 t0=0   t1=10  t2=1   ra=161
